,volumeUSD,volumeUSD,volumeUSD,volumeUSD
,count,median,mean,std
venue,,,,
coinbase,4264,6485.4234023865,216887837.0736379,372828331.6712959
binance,9363,380.59315200000003,145762532.20305642,521228538.89290625
okx,2190,5966551.726973513,101521474.93672067,184570737.31213477
uniswap_v3_fee500,5468,8361546.236285739,87566215.33839807,201560130.33068237
uniswap_v3_all,12106,1368348.6093191956,56887979.98855787,169836449.172022
uniswap_v3_fee100,1519,525623.0266783183,35622480.9954909,62357945.554851644
uniswap_v3_fee3000,9758,1077697.1798360604,15757045.556815902,41868837.374603406
uniswap_v2,14483,162516.1817659991,5366341.790148683,21865247.608706433
uniswap_v3_fee10000,8759,5252.8858516283435,229023.98624963994,865702.2265433167
